category	topic_id	avg_probability
comedy	0	0.001007
comedy	1	0.001069
comedy	2	0.006774
comedy	3	0.065245
comedy	4	0.007871
comedy	5	0.010927
comedy	6	0.013055
comedy	7	0.055667
comedy	8	0.021584
comedy	9	0.028684
comedy	10	0.773228
comedy	11	0.007898
comedy	12	0.001081
comedy	13	0.002859
comedy	14	0.003052
tragedy	0	0.000067
tragedy	1	0.001654
tragedy	2	0.000073
tragedy	3	0.319527
tragedy	4	0.005116
tragedy	5	0.003960
tragedy	6	0.002426
tragedy	7	0.202317
tragedy	8	0.373347
tragedy	9	0.006501
tragedy	10	0.070476
tragedy	11	0.008003
tragedy	12	0.000068
tragedy	13	0.000071
tragedy	14	0.006393
